year,industry_code,industry_name,total_intermediate_musd,value_added_basic_musd,total_industry_output_basic_musd
2019,111CA,Farms,265426.0,143738.0,409164.0
2019,113FF,"Forestry, fishing, and related activities",9409.0,40969.0,50378.0
2019,211,Oil and gas extraction,143210.0,161570.0,304780.0
2019,212,"Mining, except oil and gas",53016.0,50265.0,103282.0
2019,213,Support activities for mining,67484.0,67866.0,135350.0
2019,22,Utilities,186372.0,300760.0,487132.0
2019,23,Construction,779205.0,950776.0,1729982.0
2019,321,Wood products,75557.0,36687.0,112245.0
2019,327,Nonmetallic mineral products,72040.0,62882.0,134923.0
2019,331,Primary metals,168512.0,67286.0,235798.0
2019,332,Fabricated metal products,218723.0,157927.0,376651.0
2019,333,Machinery,230162.0,160714.0,390876.0
2019,334,Computer and electronic products,100954.0,265853.0,366807.0
2019,335,"Electrical equipment, appliances, and components",71429.0,60246.0,131674.0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",488464.0,161492.0,649956.0
2019,3364OT,Other transportation equipment,162915.0,165471.0,328385.0
2019,337,Furniture and related products,43803.0,30338.0,74141.0
2019,339,Miscellaneous manufacturing,75412.0,91057.0,166469.0
2019,311FT,Food and beverage and tobacco products,705040.0,251145.0,956185.0
2019,313TT,Textile mills and textile product mills,33218.0,16688.0,49906.0
2019,315AL,Apparel and leather and allied products,7712.0,9604.0,17316.0
2019,322,Paper products,128227.0,62593.0,190820.0
2019,323,Printing and related support activities,39644.0,41455.0,81099.0
2019,324,Petroleum and coal products,454343.0,142905.0,597248.0
2019,325,Chemical products,430956.0,370709.0,801665.0
2019,326,Plastics and rubber products,165496.0,84109.0,249604.0
2019,42,Wholesale trade,935960.0,1029960.0,1965921.0
2019,441,Motor vehicle and parts dealers,113778.0,207419.0,321197.0
2019,445,Food and beverage stores,94734.0,144236.0,238971.0
2019,452,General merchandise stores,84564.0,119072.0,203636.0
2019,4A0,Other retail,417277.0,575437.0,992714.0
2019,481,Air transportation,132056.0,115580.0,247637.0
2019,482,Rail transportation,38661.0,47564.0,86225.0
2019,483,Water transportation,45363.0,15225.0,60588.0
2019,484,Truck transportation,212015.0,196834.0,408849.0
2019,485,Transit and ground passenger transportation,55215.0,53140.0,108355.0
2019,486,Pipeline transportation,22684.0,38825.0,61509.0
2019,487OS,Other transportation and support activities,120500.0,143672.0,264172.0
2019,493,Warehousing and storage,61561.0,73219.0,134781.0
2019,511,"Publishing industries, except internet (includes software)",140075.0,277012.0,417087.0
2019,512,Motion picture and sound recording industries,78299.0,86171.0,164470.0
2019,513,Broadcasting and telecommunications,392419.0,461431.0,853849.0
2019,514,"Data processing, internet publishing, and other information services",207641.0,272051.0,479693.0
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",379812.0,737604.0,1117416.0
2019,523,"Securities, commodity contracts, and investments",328963.0,277654.0,606617.0
2019,524,Insurance carriers and related activities,501241.0,604401.0,1105642.0
2019,525,"Funds, trusts, and other financial vehicles",145633.0,1705.0,147338.0
2019,HS,Housing,247528.0,1990387.0,2237915.0
2019,ORE,Other real estate,843501.0,592100.0,1435601.0
2019,532RL,Rental and leasing services and lessors of intangible assets,160936.0,227995.0,388931.0
2019,5411,Legal services,80838.0,273568.0,354406.0
2019,5415,Computer systems design and related services,153186.0,372900.0,526087.0
2019,5412OP,"Miscellaneous professional, scientific, and technical services",588693.0,978033.0,1566725.0
2019,55,Management of companies and enterprises,226135.0,403868.0,630003.0
2019,561,Administrative and support services,473915.0,603790.0,1077705.0
2019,562,Waste management and remediation services,69330.0,56840.0,126170.0
2019,61,Educational services,112881.0,269293.0,382175.0
2019,621,Ambulatory health care services,378847.0,781759.0,1160606.0
2019,622,Hospitals,406220.0,521794.0,928014.0
2019,623,Nursing and residential care facilities,102645.0,155495.0,258140.0
2019,624,Social assistance,100948.0,145780.0,246728.0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875.0,134759.0,218634.0
2019,713,"Amusements, gambling, and recreation industries",75717.0,84067.0,159784.0
2019,721,Accommodation,111615.0,168034.0,279649.0
2019,722,Food services and drinking places,418838.0,433167.0,852004.0
2019,81,"Other services, except government",298895.0,462869.0,761764.0
2019,GFGD,Federal general government (defense),270064.0,432279.0,702343.0
2019,GFGN,Federal general government (nondefense),121485.0,319464.0,440949.0
2019,GFE,Federal government enterprises,33264.0,72092.0,105356.0
2019,GSLG,State and local general government,842146.0,1661707.0,2503853.0
2019,GSLE,State and local government enterprises,231285.0,172307.0,403592.0
