year,pce_price_index_2017_100,n_months,first_month,last_month
2016,98.28433333333334,12,2016-01-01,2016-12-01
2017,100.00016666666666,12,2017-01-01,2017-12-01
2018,102.04700000000001,12,2018-01-01,2018-12-01
2019,103.50875,12,2019-01-01,2019-12-01
2020,104.66641666666668,12,2020-01-01,2020-12-01
2021,108.97258333333333,12,2021-01-01,2021-12-01
2022,116.10041666666666,12,2022-01-01,2022-12-01
2023,120.51066666666667,12,2023-01-01,2023-12-01
2024,123.66608333333333,12,2024-01-01,2024-12-01
2025,126.91908333333333,12,2025-01-01,2025-12-01
