year,index_value,index_name,weighting,inflation
1984,100.0,BasicReproductionCostIndex,equal,
1985,103.48758285752308,BasicReproductionCostIndex,equal,3.487582857523086
1986,103.43846582449135,BasicReproductionCostIndex,equal,-0.04746176466345897
1987,107.54165952672633,BasicReproductionCostIndex,equal,3.9667967516040514
1988,111.9238011718591,BasicReproductionCostIndex,equal,4.074831711187898
1989,118.40531038142952,BasicReproductionCostIndex,equal,5.7910016830272415
1990,126.50723939183624,BasicReproductionCostIndex,equal,6.842538551951138
1991,131.84102975603082,BasicReproductionCostIndex,equal,4.216193784510636
1992,136.17840220025252,BasicReproductionCostIndex,equal,3.2898502478688973
1993,140.71323900036057,BasicReproductionCostIndex,equal,3.330070500782867
1994,144.94926209089402,BasicReproductionCostIndex,equal,3.010394132511296
1995,149.56182352868615,BasicReproductionCostIndex,equal,3.182190354925507
1996,154.7119147113262,BasicReproductionCostIndex,equal,3.443453055820922
1997,158.19695177887954,BasicReproductionCostIndex,equal,2.2525977227132232
1998,159.15427603619497,BasicReproductionCostIndex,equal,0.6051470945240167
1999,163.6792529519161,BasicReproductionCostIndex,equal,2.8431387634800798
2000,172.76169932348077,BasicReproductionCostIndex,equal,5.5489295116912585
2001,178.52074013115507,BasicReproductionCostIndex,equal,3.3335171106942063
2002,181.2023760067897,BasicReproductionCostIndex,equal,1.5021424814083195
2003,188.8871159433164,BasicReproductionCostIndex,equal,4.240970844796621
2004,197.6546780395472,BasicReproductionCostIndex,equal,4.641694089321535
2005,209.2291024633424,BasicReproductionCostIndex,equal,5.855881853441058
2006,219.26459390287155,BasicReproductionCostIndex,equal,4.796412794098481
2007,228.06814541722534,BasicReproductionCostIndex,equal,4.015035604997652
2008,241.66726438456982,BasicReproductionCostIndex,equal,5.962743697707729
2009,233.32049269691993,BasicReproductionCostIndex,equal,-3.4538280180006153
2010,242.21795853736347,BasicReproductionCostIndex,equal,3.8134095027826165
2011,256.7379358070618,BasicReproductionCostIndex,equal,5.994591547785055
2012,263.0676851797193,BasicReproductionCostIndex,equal,2.465451532419549
2013,266.4420168255024,BasicReproductionCostIndex,equal,1.2826857253401602
2014,270.431652253321,BasicReproductionCostIndex,equal,1.497374729163492
2015,263.72791748573076,BasicReproductionCostIndex,equal,-2.478901678754175
2016,265.3910062078206,BasicReproductionCostIndex,equal,0.6306077634651075
2017,274.08540558103397,BasicReproductionCostIndex,equal,3.2760715961885234
2018,283.2215056949034,BasicReproductionCostIndex,equal,3.3333041190215074
2019,287.6712789096781,BasicReproductionCostIndex,equal,1.5711282954508965
2020,289.41267985188796,BasicReproductionCostIndex,equal,0.605344040187128
2021,308.17671196007205,BasicReproductionCostIndex,equal,6.48348652788362
2022,340.05074495023354,BasicReproductionCostIndex,equal,10.342777943030024
2023,346.1650038618214,BasicReproductionCostIndex,equal,1.7980430869171338
2024,354.14499563816037,BasicReproductionCostIndex,equal,2.305256651398624
2025,362.0262800091417,BasicReproductionCostIndex,equal,2.225439994367129
1984,100.0,CPIAllItems,equal,
1985,103.5456441520937,CPIAllItems,equal,3.5456441520937076
1986,105.51098989250762,CPIAllItems,equal,1.8980477223427217
1987,109.37750681854645,CPIAllItems,equal,3.664563217516914
1988,113.83763837638377,CPIAllItems,equal,4.077741107444077
1989,119.33258463019412,CPIAllItems,equal,4.827003030089494
1990,125.77410556714264,CPIAllItems,equal,5.397956439903218
1991,131.1005936146318,CPIAllItems,equal,4.234963964538552
1992,135.0713941922028,CPIAllItems,equal,3.0288196781496746
1993,139.05823840847106,CPIAllItems,equal,2.951656966385552
1994,142.68410075405103,CPIAllItems,equal,2.6074415921546024
1995,146.6869886090165,CPIAllItems,equal,2.805419688536559
1996,150.9866837798813,CPIAllItems,equal,2.9312041999344007
1997,154.51628429327775,CPIAllItems,equal,2.337689937307408
1998,156.91480827851757,CPIAllItems,equal,1.5522790987436252
1999,160.34814695973049,CPIAllItems,equal,2.1880271969735743
2000,165.76287502005457,CPIAllItems,equal,3.376857271499323
2001,170.4476175196535,CPIAllItems,equal,2.8261711188540595
2002,173.1509706401412,CPIAllItems,equal,1.5860316265060126
2003,177.08166212096904,CPIAllItems,equal,2.2700949733611253
2004,181.82255735600833,CPIAllItems,equal,2.6772366930917224
2005,187.99133643510345,CPIAllItems,equal,3.3927468454954424
2006,194.05583186266645,CPIAllItems,equal,3.2259441007040923
2007,199.59160917696133,CPIAllItems,equal,2.8526724815013837
2008,207.25413123696458,CPIAllItems,equal,3.8391002966510213
2009,206.51724691159959,CPIAllItems,equal,-0.3555462662997444
2010,209.9042194769774,CPIAllItems,equal,1.6400434423898824
2011,216.5305631317183,CPIAllItems,equal,3.1568415686220597
2012,221.01131076528156,CPIAllItems,equal,2.0693372652605957
2013,224.24875661800095,CPIAllItems,equal,1.464832655627113
2014,227.88657147441035,CPIAllItems,equal,1.6222229774081942
2015,228.1569067864592,CPIAllItems,equal,0.11862713555248483
2016,231.03529600513397,CPIAllItems,equal,1.2615832057053522
2017,235.9566019573239,CPIAllItems,equal,2.130110003659591
2018,241.72003850473288,CPIAllItems,equal,2.4425832969282135
2019,246.10051339643832,CPIAllItems,equal,1.8122100752601344
2020,249.1363709289267,CPIAllItems,equal,1.2335843963063864
2021,260.8404460131558,CPIAllItems,equal,4.697858863637383
2022,281.71498475854327,CPIAllItems,equal,8.002799820521167
2023,293.3113268089202,CPIAllItems,equal,4.1163383837448775
2024,301.9626183218354,CPIAllItems,equal,2.949525204852077
2025,309.90823038665167,CPIAllItems,equal,2.631323078655967
1984,100.0,CheapGoodsIndex,equal,
1985,102.17230547893406,CheapGoodsIndex,equal,2.1723054789340557
1986,102.58686098257344,CheapGoodsIndex,equal,0.40574155755430663
1987,105.68210052653762,CheapGoodsIndex,equal,3.0171890574661075
1988,108.76909010096615,CheapGoodsIndex,equal,2.9210145890820494
1989,111.05544585094155,CheapGoodsIndex,equal,2.1020270996595203
1990,112.69945224981446,CheapGoodsIndex,equal,1.4803473942912149
1991,115.62015380095207,CheapGoodsIndex,equal,2.5915845133510196
1992,118.65310088941608,CheapGoodsIndex,equal,2.623199320150915
1993,122.35702011184549,CheapGoodsIndex,equal,3.121637104015873
1994,125.64792917036489,CheapGoodsIndex,equal,2.6895956239463947
1995,129.65064894067382,CheapGoodsIndex,equal,3.18566314362545
1996,130.82189583538394,CheapGoodsIndex,equal,0.9033868355306618
1997,130.12457899128484,CheapGoodsIndex,equal,-0.533027624807203
1998,129.91986265286923,CheapGoodsIndex,equal,-0.15732334352399624
1999,129.4544747699805,CheapGoodsIndex,equal,-0.358211495444849
2000,129.9409323357332,CheapGoodsIndex,equal,0.37577501018568604
2001,129.9056296642485,CheapGoodsIndex,equal,-0.02716824548673058
2002,126.91105556040729,CheapGoodsIndex,equal,-2.305191939395479
2003,123.0807222553055,CheapGoodsIndex,equal,-3.0181242195079117
2004,120.49040002955516,CheapGoodsIndex,equal,-2.10457184381585
2005,121.78156417358991,CheapGoodsIndex,equal,1.0715908850149392
2006,121.83222391494485,CheapGoodsIndex,equal,0.04159885915302475
2007,120.32129932105212,CheapGoodsIndex,equal,-1.2401682784248913
2008,119.46074695465549,CheapGoodsIndex,equal,-0.7152119959247027
2009,118.71163115813886,CheapGoodsIndex,equal,-0.6270811254854958
2010,121.58293120874683,CheapGoodsIndex,equal,2.418718387234553
2011,124.02244999538433,CheapGoodsIndex,equal,2.0064648568548504
2012,125.73173751442707,CheapGoodsIndex,equal,1.3782081543352476
2013,125.81514495992784,CheapGoodsIndex,equal,0.06633762258412279
2014,125.17963213609069,CheapGoodsIndex,equal,-0.505116314923415
2015,124.33911597326112,CheapGoodsIndex,equal,-0.6714480211251872
2016,123.22116518303332,CheapGoodsIndex,equal,-0.8991143144915115
2017,121.57916459824773,CheapGoodsIndex,equal,-1.3325637542434876
2018,121.47516555316432,CheapGoodsIndex,equal,-0.08554018727392476
2019,122.01931228607,CheapGoodsIndex,equal,0.4479489535394343
2020,122.38755552341313,CheapGoodsIndex,equal,0.3017909464034574
2021,134.71118025502557,CheapGoodsIndex,equal,10.069344615069875
2022,147.67332184255707,CheapGoodsIndex,equal,9.622172089200397
2023,147.6322586005852,CheapGoodsIndex,equal,-0.02780681131805407
2024,144.75583294512006,CheapGoodsIndex,equal,-1.9483720446540231
2025,146.65083966734073,CheapGoodsIndex,equal,1.3091056047040972
1984,100.0,LocalReproductionCostIndex,equal,
1985,105.99135717383827,LocalReproductionCostIndex,equal,5.991357173838274
1986,112.63959582281761,LocalReproductionCostIndex,equal,6.272434683589778
1987,118.44588788908499,LocalReproductionCostIndex,equal,5.154752219992598
1988,124.45514477690756,LocalReproductionCostIndex,equal,5.073419596845574
1989,131.1797511346691,LocalReproductionCostIndex,equal,5.403236941161205
1990,139.47123463346205,LocalReproductionCostIndex,equal,6.320703787797943
1991,147.47658043107523,LocalReproductionCostIndex,equal,5.739782700462692
1992,154.26042483448018,LocalReproductionCostIndex,equal,4.59994690924872
1993,160.34104536728776,LocalReproductionCostIndex,equal,3.9417890488322227
1994,166.03497430385093,LocalReproductionCostIndex,equal,3.5511362193755724
1995,171.82870169980734,LocalReproductionCostIndex,equal,3.4894620366873186
1996,177.28543856061822,LocalReproductionCostIndex,equal,3.1756841591831675
1997,182.44221647443456,LocalReproductionCostIndex,equal,2.908743073139153
1998,188.3793426954644,LocalReproductionCostIndex,equal,3.254250214539467
1999,194.37817980699035,LocalReproductionCostIndex,equal,3.1844452930402944
2000,201.54148708105046,LocalReproductionCostIndex,equal,3.6852424902697356
2001,210.19123418839874,LocalReproductionCostIndex,equal,4.291794822308592
2002,219.00196645203792,LocalReproductionCostIndex,equal,4.191769603361251
2003,226.0441764311081,LocalReproductionCostIndex,equal,3.215592121458166
2004,233.69650239633208,LocalReproductionCostIndex,equal,3.385323208074853
2005,241.56971963803255,LocalReproductionCostIndex,equal,3.368992330209575
2006,250.53625526496162,LocalReproductionCostIndex,equal,3.7117796221995514
2007,260.92729889469985,LocalReproductionCostIndex,equal,4.147520932149673
2008,269.6472917252363,LocalReproductionCostIndex,equal,3.341924308983679
2009,275.8652431745242,LocalReproductionCostIndex,equal,2.305957315389562
2010,279.7396232988281,LocalReproductionCostIndex,equal,1.4044466347842288
2011,285.8152760012587,LocalReproductionCostIndex,equal,2.171895647382205
2012,294.2634862225166,LocalReproductionCostIndex,equal,2.955828792447268
2013,301.6922297090953,LocalReproductionCostIndex,equal,2.5245209937332147
2014,309.92226756377113,LocalReproductionCostIndex,equal,2.7279581786417317
2015,319.27885315482575,LocalReproductionCostIndex,equal,3.0190104327141754
2016,330.9949317133788,LocalReproductionCostIndex,equal,3.6695441751889657
2017,341.28112011806826,LocalReproductionCostIndex,equal,3.107657374523387
2018,350.89773731452857,LocalReproductionCostIndex,equal,2.817799353545669
2019,362.2506278737431,LocalReproductionCostIndex,equal,3.235384373264938
2020,374.4187829587415,LocalReproductionCostIndex,equal,3.359043200675793
2021,381.6278669558723,LocalReproductionCostIndex,equal,1.9254066102568412
2022,401.2356229046333,LocalReproductionCostIndex,equal,5.137925619836414
2023,419.8109337639282,LocalReproductionCostIndex,equal,4.6295268413168555
2024,437.2624798520312,LocalReproductionCostIndex,equal,4.157001327153753
2025,451.7104174667886,LocalReproductionCostIndex,equal,3.304179590173506
