year,basic_reproduction_inflation,reproduction_real_wage_growth,quits_rate,consumer_sentiment,delinquency_rate,work_stoppages,workers_involved,union_petitions,notes
1984,,,,97.475,,,,,optional manual supplement
1985,3.487582857523086,-0.5617564761479232,,93.16666666666669,,,,,optional manual supplement
1986,-0.0474617646634589,2.223882204494698,,94.79166666666669,,,,,optional manual supplement
1987,3.966796751604051,-1.4712335536293142,,90.64166666666668,,,,,optional manual supplement
1988,4.074831711187898,-0.8234121423440377,,93.73333333333332,,,,,optional manual supplement
1989,5.7910016830272415,-1.7841239099358197,,92.75833333333333,,,,,optional manual supplement
1990,6.842538551951138,-2.649355666579689,,81.61666666666666,,,,,optional manual supplement
1991,4.216193784510636,-1.0737577397616271,,77.55,3.19,,,,optional manual supplement
1992,3.2898502478688973,-0.8214804466901593,,77.25,2.965,,,,optional manual supplement
1993,3.330070500782867,-0.7291864080050114,,82.79166666666667,2.62,,,,optional manual supplement
1994,3.010394132511296,-0.4033948107841856,,92.26666666666668,2.2175,,,,optional manual supplement
1995,3.182190354925507,-0.40480604587534996,,92.24166666666667,2.13,,,,optional manual supplement
1996,3.443453055820922,-0.08501304368171425,,93.60833333333332,2.2525,,,,optional manual supplement
1997,2.2525977227132232,1.561054285328689,,103.21666666666664,2.26,,,,optional manual supplement
1998,0.6051470945240167,3.40040530094865,,104.61666666666667,2.115,,,,optional manual supplement
1999,2.84313876348008,0.8305436401675248,,105.825,1.99,,,,optional manual supplement
2000,5.5489295116912585,-1.5864617317782992,2.2,107.575,2.0625,,,,optional manual supplement
2001,3.3335171106942063,0.42391611789454053,2.208333333333333,89.24166666666667,2.3,,,,optional manual supplement
2002,1.5021424814083195,1.38916636685531,1.95,89.58333333333333,2.1225,,,,optional manual supplement
2003,4.240970844796621,-1.5034146752970323,1.8166666666666669,87.625,1.8275,,,,optional manual supplement
2004,4.641694089321535,-2.4241382836692305,1.9416666666666669,95.2,1.5525,,,,optional manual supplement
2005,5.855881853441058,-2.9318075913926323,2.1083333333333334,88.55,1.55,,,,optional manual supplement
2006,4.796412794098481,-0.8809555112842316,2.1750000000000003,87.30833333333334,1.7225,,,,optional manual supplement
2007,4.015035604997652,-0.02153876532113852,2.091666666666667,85.58333333333333,2.545,,,,optional manual supplement
2008,5.962743697707729,-2.0626458440583417,1.85,63.75,4.9725,,,,optional manual supplement
2009,-3.453828018000616,6.678303762428239,1.3416666666666668,66.25833333333334,9.12,,,,optional manual supplement
2010,3.813409502782617,-1.3651488777477239,1.4249999999999998,71.84166666666667,10.8875,,,,optional manual supplement
2011,5.994591547785055,-3.744905134954768,1.4833333333333334,67.35000000000001,10.4175,,,,optional manual supplement
2012,2.465451532419549,-0.9668030390656446,1.5333333333333332,76.54166666666667,10.32,,,,optional manual supplement
2013,1.2826857253401602,0.7775590646998065,1.675,79.20833333333333,8.9975,,,,optional manual supplement
2014,1.497374729163492,0.7921830823050424,1.8333333333333333,84.125,7.195,,,,optional manual supplement
2015,-2.478901678754175,4.682784226157755,1.9666666666666668,92.94166666666666,5.640000000000001,,,,optional manual supplement
2016,0.6306077634651075,1.7994856248624513,2.083333333333333,91.84166666666664,4.47,,,,optional manual supplement
2017,3.2760715961885234,-0.9057029398729544,2.1583333333333337,96.76666666666668,3.7,,,,optional manual supplement
2018,3.333304119021508,-0.339235151847328,2.2583333333333333,98.36666666666667,3.13,,,,optional manual supplement
2019,1.5711282954508965,1.9444472691096282,2.3166666666666664,95.98333333333332,2.5175,,,,optional manual supplement
2020,0.605344040187128,4.381075431136505,2.083333333333333,81.54166666666667,2.6175,,,,optional manual supplement
2021,6.48348652788362,-1.4250239253766672,2.708333333333333,77.61666666666666,2.435,,,,optional manual supplement
2022,10.342777943030024,-3.584541590446688,2.7583333333333333,58.975,1.9175,,,,optional manual supplement
2023,1.7980430869171338,3.053635664896337,2.3666666666666667,65.35000000000001,1.72,,,,optional manual supplement
2024,2.305256651398624,1.817001916564398,2.066666666666667,72.54166666666667,1.74,,,,optional manual supplement
2025,2.225439994367129,1.7742496044730105,2.0166666666666666,57.583333333333336,1.78,,,,optional manual supplement
