sample,model,term,estimate,std_error,t_value,p_value,nobs
all_qcew6_zero_unmatched,"All QCEW6: annual pay, current",tariff_301_direct,-0.009667564871745303,0.008865103379948943,-1.0905191352434045,0.2757153758622755,9115
all_qcew6_zero_unmatched,"All QCEW6: annual pay, cum. 0-1",tariff_301_direct_cum01,-0.0017740654918690598,0.004383518291115744,-0.4047126928760925,0.685764767928297,9115
all_qcew6_zero_unmatched,"All QCEW6: weekly wage, cum. 0-1",tariff_301_direct_cum01,-0.0017263485149671249,0.004382044728767138,-0.3939595832132966,0.6936846850919014,9115
all_qcew6_zero_unmatched,"All QCEW6: PCE real annual pay, cum. 0-1",tariff_301_direct_cum01,-0.0017740654918690574,0.004383518291115744,-0.40471269287609196,0.6857647679282972,9115
all_qcew6_zero_unmatched,"All QCEW6: PCE real weekly wage, cum. 0-1",tariff_301_direct_cum01,-0.001726348514967133,0.004382044728767138,-0.39395958321329844,0.6936846850919001,9115
import_weight_matched_qcew6,"Matched QCEW6: annual pay, current",tariff_301_direct,0.010978122897213768,0.01923296245178818,0.5707972926548859,0.5684892630329454,3127
import_weight_matched_qcew6,"Matched QCEW6: annual pay, cum. 0-1",tariff_301_direct_cum01,-0.00806740907355599,0.009726826546861045,-0.8293978549622059,0.40742288299925433,3127
import_weight_matched_qcew6,"Matched QCEW6: weekly wage, cum. 0-1",tariff_301_direct_cum01,-0.008065781362463043,0.0097242395679554,-0.8294511160587273,0.4073927947090862,3127
import_weight_matched_qcew6,"Matched QCEW6: PCE real annual pay, cum. 0-1",tariff_301_direct_cum01,-0.008067409073555937,0.009726826546861054,-0.8293978549621995,0.4074228829992579,3127
import_weight_matched_qcew6,"Matched QCEW6: PCE real weekly wage, cum. 0-1",tariff_301_direct_cum01,-0.0080657813624632,0.009724239567955375,-0.8294511160587456,0.40739279470907575,3127
employment_weighted_qcew6,"All QCEW6 weighted: annual pay, cum. 0-1",tariff_301_direct_cum01,-0.0036219677343194215,0.0036138253232401714,-1.0022531280155924,0.3164344139074577,9115
employment_weighted_qcew6,"All QCEW6 weighted: annual pay, cum. 0-2",tariff_301_direct_cum02,0.002327813815858453,0.002655955508729515,0.8764506062723808,0.3809700853460698,9115
employment_weighted_qcew6,"Matched QCEW6 weighted: annual pay, cum. 0-1",tariff_301_direct_cum01,7.923463674111661e-4,0.013455729891752142,0.0588854245578194,0.9530756811335781,3127
employment_weighted_qcew6,"Matched QCEW6 weighted: annual pay, cum. 0-2",tariff_301_direct_cum02,6.1679498192715e-4,0.009953718845955497,0.061966285312325536,0.950623691438703,3127
