year,tradable_proxy_core_commodities_inflation,nontradable_proxy_core_services_inflation,tradable_minus_nontradable,tradable_months_observed,nontradable_months_observed
2015,-0.46355540466428424,2.6094991767577014,-3.0730545814219856,12,12
2016,-0.4828826485651305,3.1002392803986423,-3.583121928963773,12,12
2017,-0.7284117254285127,2.671932561612911,-3.4003442870414236,12,12
2018,-0.1969347234426655,2.898040338362229,-3.0949750618048943,12,12
2019,0.21936383331357945,2.8507458060004875,-2.631381972686908,12,12
2020,0.1486931339675479,2.210852927661966,-2.062159793694418,12,12
2021,6.339643216755242,2.62106900073813,3.718574216017112,12,12
2022,7.629122231159324,5.643401519449798,1.9857207117095266,12,12
2023,0.8832417727683062,6.244489176324297,-5.361247403555991,12,12
2024,-1.0732833755638271,4.996110657511865,-6.069394033075692,12,12
2025,0.7310880089594018,3.4802832700020936,-2.7491952610426917,11,11
