model_set,model,term,estimate,std_error,t_value,p_value
main,Price: current network,network_tariff_shock,0.1114350873623788,0.0627497021786663,1.7758663944745319,0.08043554164301349
main,Price: cumulative 0-1,network_tariff_shock_cum01,0.06424762529917824,0.027738328461365553,2.316203926587123,0.023711054041598546
main,Price: change in network,d_network_tariff_shock,-0.23223488275139934,0.11643766793365615,-1.9944996054345758,0.050294568445433424
main,Nominal wage: cumulative 0-1,network_tariff_shock_cum01,0.01659897579095428,0.02082280515994758,0.7971536814301184,0.42840407346631804
main,Real wage: current network,network_tariff_shock,-0.11984556068656012,0.07527153522534043,-1.5921763828488207,0.11643123511130252
main,Real wage: cumulative 0-1,network_tariff_shock_cum01,-0.057463042275430386,0.03456706218778477,-1.6623640725747457,0.10148797862228848
main,Real wage: cumulative 0-2,network_tariff_shock_cum02,-0.02903400525390933,0.02465275572275747,-1.1777184498326667,0.2434098666119707
main,PCE real wage: current network,network_tariff_shock,0.008546756436422394,0.03948869374512778,0.2164355319420237,0.829358835942082
main,PCE real wage: cumulative 0-1,network_tariff_shock_cum01,0.016598975790955477,0.020822805159947614,0.7971536814301746,0.42840407346628573
main,PCE real wage: cumulative 0-2,network_tariff_shock_cum02,0.02772833071297664,0.017637806221716668,1.5720963460203994,0.12101795544385381
main,Real wage: cum. 0-1 x post2021,network_tariff_shock_cum01,-0.11386767949786222,0.08629017404336568,-1.319590332969282,0.19182399424239058
main,Real wage: cum. 0-1 x post2021,network_cum01_x_post2021,0.056638140034343365,0.08381552816495667,0.6757475765454141,0.5017137320149491
